Date received,Product,Sub-product,Issue,Sub-issue,Company,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",Web,07/30/2013,Closed with explanation,Yes,No,469340
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CIT Bank National Association,Web,07/31/2013,Closed with explanation,Yes,No,469487
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,Bank of America,Web,08-01-2013,Closed with explanation,Yes,No,469394
07/29/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Alpine Financial Solutions, Inc.",Postal mail,12-04-2013,Closed with explanation,Yes,No,469408
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ditech Financial LLC,Web,07/30/2013,Closed with explanation,Yes,No,469411
07/29/2013,Bank account or service,Checking account,Problems caused by my funds being low,,Wells Fargo & Company,Phone,07/30/2013,Closed with explanation,Yes,No,469414
07/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,Citibank,Web,07/30/2013,Closed with explanation,Yes,No,469423
07/29/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,Equifax,Fax,07/29/2013,Closed with explanation,Yes,No,479282
07/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,U.S. Bancorp,Web,08-01-2013,Closed with non-monetary relief,Yes,No,469428
07/29/2013,Credit card,,Billing disputes,,Capital One,Web,07/29/2013,Closed with explanation,Yes,No,475777
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Wells Fargo & Company,Web,08-05-2013,Closed with explanation,Yes,No,469446
07/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",,First Tennessee Bank,Phone,07/30/2013,Closed with explanation,Yes,Yes,469447
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,Discover,Web,07/30/2013,Closed with explanation,Yes,No,467427
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Wells Fargo & Company,Phone,07/30/2013,Closed with explanation,Yes,No,464039
07/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,Bank of America,Web,07/31/2013,Closed with explanation,Yes,No,469461
07/29/2013,Credit card,,Credit line increase/decrease,,Citibank,Phone,07/30/2013,Closed with explanation,Yes,Yes,469473
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,Web,07/30/2013,Closed with explanation,Yes,Yes,469479
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CIT Bank National Association,Phone,07/31/2013,Closed,Yes,No,469499
07/29/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"Borenstein & Associates, LLC",Web,09/17/2013,Closed,Yes,No,469501
07/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Houston Home Loan, Inc.",Web,08/30/2013,Closed with explanation,Yes,Yes,469513
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,Ocwen,Web,08/13/2013,Closed,Yes,No,480183
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ocwen,Web,07/30/2013,Closed with explanation,Yes,No,469525
07/29/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,,Bank of America,Phone,08-01-2013,Closed with explanation,Yes,No,469537
07/29/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,"Fidelity National Information Services, Inc. (FNIS)",Referral,08/21/2013,Closed with explanation,Yes,No,469507
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,People's United Bank,Referral,07/31/2013,Closed with explanation,Yes,No,469508
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"Citizens Financial Group, Inc.",Web,08-01-2013,Closed with non-monetary relief,Yes,No,469589
07/30/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,Ally Financial Inc.,Fax,08-01-2013,Closed with explanation,Yes,No,469241
07/29/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,"Asset Management Outsourcing, Inc.",Web,07/31/2013,Closed with explanation,Yes,No,469606
07/30/2013,Credit card,,Payoff process,,Wells Fargo & Company,Phone,08-02-2013,Closed with explanation,Yes,No,470828
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Bank of America,Web,07/31/2013,Closed with non-monetary relief,Yes,No,470831
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,TD Bank US Holding Company,Postal mail,07/31/2013,Closed with monetary relief,Yes,No,480463
07/29/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"TransUnion Intermediate Holdings, Inc.",Web,07/29/2013,Closed with non-monetary relief,Yes,No,479873
07/30/2013,Bank account or service,Checking account,Using a debit or ATM card,,JPMorgan Chase & Co.,Web,08-01-2013,Closed with explanation,Yes,No,472678
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Wells Fargo & Company,Web,07/31/2013,Closed with explanation,Yes,No,469641
07/30/2013,Bank account or service,Savings account,Deposits and withdrawals,,JPMorgan Chase & Co.,Web,08-01-2013,Closed with explanation,Yes,No,470665
07/30/2013,Credit card,,Closing/Cancelling account,,Citibank,Web,07/30/2013,Closed with explanation,Yes,Yes,470852
07/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",,Wells Fargo & Company,Web,08-01-2013,Closed with non-monetary relief,Yes,Yes,470863
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,Referral,08-02-2013,Closed with explanation,Yes,No,469653
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,Referral,07/30/2013,Closed with explanation,Yes,No,455630
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Wells Fargo & Company,Referral,07/31/2013,Closed with explanation,Yes,No,469660
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,Referral,07/30/2013,Closed with explanation,Yes,Yes,467092
